2026/03/04 23:21:06.977,0.006134
2026/03/04 23:21:07.076,0.001816
2026/03/04 23:21:07.176,0.022705
2026/03/04 23:21:07.276,0.003128
2026/03/04 23:21:07.380,0.027725
2026/03/04 23:21:07.480,0.032349
2026/03/04 23:21:07.579,0.055588
2026/03/04 23:21:07.679,0.042007
2026/03/04 23:21:07.783,-0.027985
2026/03/04 23:21:07.882,-0.272537
2026/03/04 23:21:07.982,-0.607712
2026/03/04 23:21:08.082,-0.248611
2026/03/04 23:21:08.186,-0.100449
2026/03/04 23:21:08.286,-0.191544
2026/03/04 23:21:08.385,0.075531
2026/03/04 23:21:08.485,0.180374
2026/03/04 23:21:08.589,0.220215
2026/03/04 23:21:08.702,0.528885
2026/03/04 23:21:08.788,0.480057
2026/03/04 23:21:08.887,0.165985
2026/03/04 23:21:08.992,0.013245
2026/03/04 23:21:09.091,0.038788
2026/03/04 23:21:09.191,0.002045
2026/03/04 23:21:09.294,0.025238
2026/03/04 23:21:09.395,0.027512
2026/03/04 23:21:09.495,0.028885
2026/03/04 23:21:09.594,0.015533
2026/03/04 23:21:09.694,0.017883
2026/03/04 23:21:09.798,0.020920
2026/03/04 23:21:09.898,0.022018
2026/03/04 23:21:09.997,0.018158
2026/03/04 23:21:10.097,0.025360
2026/03/04 23:21:10.201,0.026733
2026/03/04 23:21:10.300,0.014725
2026/03/04 23:21:10.400,0.020935
2026/03/04 23:21:10.506,0.017349
2026/03/04 23:21:10.604,0.027481
2026/03/04 23:21:10.704,0.018188
2026/03/04 23:21:10.803,0.050369
2026/03/04 23:21:10.903,-0.048035
2026/03/04 23:21:11.007,-0.203766
2026/03/04 23:21:11.106,-0.020554
2026/03/04 23:21:11.206,-0.043686
2026/03/04 23:21:11.306,0.054840
2026/03/04 23:21:11.410,-0.036133
2026/03/04 23:21:11.509,0.086258
2026/03/04 23:21:11.609,0.200211
2026/03/04 23:21:11.709,0.359451
2026/03/04 23:21:11.813,0.206161
2026/03/04 23:21:11.913,0.117310
2026/03/04 23:21:12.012,-0.012650
2026/03/04 23:21:12.120,0.022476
2026/03/04 23:21:12.216,0.021774
2026/03/04 23:21:12.315,0.012238
2026/03/04 23:21:12.415,0.029373
2026/03/04 23:21:12.520,0.047974
2026/03/04 23:21:12.619,0.026871
2026/03/04 23:21:12.718,0.034592
2026/03/04 23:21:12.818,0.027527
2026/03/04 23:21:12.918,0.032440
2026/03/04 23:21:13.022,0.036179
